status	courseName	sourceName	provider	matchedTitle	id	distanceM	category	query	address
far	남파랑길 51코스	이순신장군이 27일간을 머물면서 전사 하루 전 소서행장을 노량 앞바다로 유인하여 대첩을 거둔 유서깊은 전적지	Kakao	장흥석대들전적지	12740918	66497	여행 > 관광,명소 > 문화유적	전적지	전남 장흥군 장흥읍 읍성로 2
far	서해랑길 58코스	성경전래지기념관	Kakao	성경전래지기념관	2109168840	2607	문화,예술 > 문화시설 > 기념관	충남 서천군 성경전래지기념관	충남 서천군 서면 서인로 89-16
far	남파랑길 59코스	가사리 생태체험장과 소라면 복산리~달천교까지 이어지는 자전거길	Kakao	낙동강자전거길	23937809	141145	교통,수송 > 도로시설 > 자전거도로	자전거길	대구 달성군 화원읍 설화리 9-2
far	서해랑길 64-3(지선3코스)	마애삼존불상	Kakao	수암리마애삼존불상	25492117	141171	여행 > 관광,명소 > 문화유적 > 불상,석불	마애삼존불상	강원특별자치도 원주시 소초면 수암리 979
far	서해랑길 64-4(지선4코스)	서산유기방가옥	Kakao	유기방가옥	25045267	1027	여행 > 관광,명소	충남 서산시 서산유기방가옥	충남 서산시 운산면 이문안길 72-10
far	서해랑길 66코스	국립태안해양유물전시관	Kakao	태안해양유물전시관	1045002102	5583	문화,예술 > 문화시설 > 전시관	충남 태안군 국립태안해양유물전시관	충남 태안군 근흥면 신진대교길 94-33
far	남파랑길 69코스	철쭉동산	Kakao	철쭉동산	8093506	313267	여행 > 공원 > 도시근린공원	철쭉동산	경기 군포시 산본동 1152-14
far	서해랑길 70코스	장길산	Kakao	장길산	9419065	213546	음식점 > 한식 > 육류,고기 > 갈비	장길산	경북 칠곡군 약목면 약목로 107
far	서해랑길 74코스	밤섬해수욕장	Kakao	삽시도밤섬해수욕장	10550093	55709	여행 > 관광,명소 > 해수욕장,해변	밤섬해수욕장	충남 보령시 오천면 삽시도리
far	서해랑길 81코스	석문호	Kakao	석문호	15150293	1034	여행 > 관광,명소 > 호수	충남 당진시 석문호	충남 당진시 송산면 가곡리 564
far	남파랑길 82코스	옹기마을	Kakao	옹기마을	658522387	141265	서비스,산업 > 식품 > 식품가공,제조	옹기마을	전북특별자치도 장수군 계남면 갈평길 80-24
far	남파랑길 83코스	철새도래지	Kakao	철새도래지	8092845	322503	여행 > 관광,명소 > 생태보존,서식지	철새도래지	서울 영등포구 여의도동 84-2
far	서해랑길 84코스	아산만방조제	Kakao	아산만방조제	7991178	1947	여행 > 관광,명소 > 방조제	충남 아산시 아산만방조제	충남 아산시 인주면 공세리 759
far	남파랑길 86코스	해조류센터 주변 등대와 활어회센터	Kakao	삼척항활어회센터	23792013	405276	가정,생활 > 상가,아케이드	활어회센터	강원특별자치도 삼척시 이사부길 38
far	DMZ 평화의 길 1코스	6.25전쟁	Kakao	6.25전쟁납북인사가족협의회	1129629161	24242	사회,공공기관 > 단체,협회	6.25전쟁	경기 파주시 문산읍 임진각로 153
far	DMZ 평화의 길 11코스 	자라봉	Kakao	자라봉	25344002	192932	여행 > 관광,명소 > 산봉우리	자라봉	충남 보령시 미산면 평라리
far	DMZ 평화의 길 11코스 	조선시대	Kakao	고구리조선시대한증막	1771680890	56259	여행 > 관광,명소 > 문화유적	조선시대	인천 강화군 교동면 고구리 산 233
far	DMZ 평화의 길 20코스	계성리 마을	Kakao	계성리마을회관	23794075	6923	가정,생활 > 친목 > 마을회관	강원 화천군 계성리 마을	강원특별자치도 화천군 하남면 계파로 172
far	DMZ 평화의 길 21코스	유물인 계성리 석등	Kakao	계성리석등	10158145	5286	여행 > 관광,명소 > 문화유적 > 탑,비석	강원 화천군 계성리 석등	강원특별자치도 화천군 하남면 계성리 594
far	DMZ 평화의 길 21코스	인민군 사령부 막사	Kakao	인민군사령부막사	27039545	7982	여행 > 관광,명소 > 문화유적	강원 화천군 인민군 사령부 막사	강원특별자치도 화천군 상서면 다파로 124
far	DMZ 평화의 길 22코스	6.25전쟁 때 국군이 중공군의 대공세를 무찌른 전투를 기리는 파로호 안보전시관	Kakao	파로호안보전시관	10905856	1215	문화,예술 > 문화시설 > 전시관	강원 화천군 파로호 안보전시관	강원특별자치도 화천군 간동면 파로호로 208
far	DMZ 평화의 길 23코스	과 겨울철	Kakao	양재천 수영장 겨울철 눈놀이터	743546209	98992	가정,생활 > 유아 > 놀이시설 > 놀이터	겨울철	서울 서초구 양재동 126-1
far	DMZ 평화의 길 23코스	한국전쟁 직후 피난 온 사람들이 정착하여 화전 밭을 일구며 형성된 마을, 비수구미	Kakao	비수구미계곡	11277956	2930	여행 > 관광,명소 > 계곡	강원 화천군 비수구미	강원특별자치도 화천군 화천읍 비수구미길 470
far	DMZ 평화의 길 25코스	대하천, 수입천	Kakao	수입천	7965276	2318	여행 > 관광,명소 > 하천	강원 양구군 수입천	강원특별자치도 양구군 방산면 오미리
far	DMZ 평화의 길 28코스	군사분계선 부근의 최전방 안보 관광지, 을지전망대	Kakao	을지전망대	10669533	4395	여행 > 관광,명소 > 전망대	강원 양구군 을지전망대	강원특별자치도 양구군 해안면 이현리
far	DMZ 평화의 길 30코스 (예약노선)	천연기념물로 지정된 남한 유일의 고층 습지인 대암산 용늪	Kakao	대암산용늪	7821105	8616	여행 > 관광,명소 > 생태보존,서식지	강원 인제군 대암산 용늪	강원특별자치도 인제군 서화면 서흥리 산 170
far	DMZ 평화의 길 30코스 (예약노선)	금강산의 일부로 여겨지며, 6.25전쟁 당시 요충지로 알려졌던 향로	Kakao	금강산	240648135	161081	여행 > 관광,명소 > 산	금강산	경기 안성시 금광면 금광리 산 48
far	DMZ 평화의 길 8코스 (예약노선)	생태수로와 습지관찰데크 등을 갖춘 임진각 수풀누리	Kakao	을숙도 생태수로	27471133	364232	여행 > 관광,명소 > 생태보존,서식지	생태수로	부산 사하구 하단동 1213
far	DMZ 평화의 길 8코스 (예약노선)	해마루촌	Kakao	해마루촌	8149468	2425	여행 > 체험여행 > 정보화,체험마을	경기 파주시 해마루촌	경기 파주시 진동면 해마루길 111
none	해파랑길 1코스	해운 최치원							
none	서해랑길 10코스	진도 팽목항							
none	남파랑길 11코스	진동항							
none	해파랑길 11코스	아담하고 조용하지만 웅장한 거마상과 화려한 야간경관이 아름다운 전촌항							
none	남파랑길 12코스	석전마을과 금봉촌마을							
none	해파랑길 12코스	고려말 성씨가 다른 세집이 마을을 형성할 무렵 연꽃이 많았다 하여 붙여진 연동마을							
none	남파랑길 13코스	아기자기하고 작은 마을들을 구경할 수 있음							
none	남파랑길 13코스	면화산둘레길을 따라 걸으며 고즈넉한 자연의 경치를 감상할 수 있음							
none	해파랑길 13코스	이른 아침마다 활어시장이 열리는 출발점 양포항							
none	해파랑길 13코스	일제강점기 수산업							
none	남파랑길 14코스	봄철 덕포교 인근							
none	남파랑길 14코스	소박한 죽림소공원							
none	남파랑길 15코스	코스 초반 장문 해안로 구간							
none	해파랑길 15코스	구룡포 악어 바위와 독수리바위 주변으로 정비된 해안산책로							
none	남파랑길 16코스	거제 읍성인 거제사등성							
none	서해랑길 16코스	포뮬러원 그랑프리 경주장							
none	해파랑길 16코스	전설이 서린 도구해변							
none	해파랑길 16코스	포항시내 야간경관이 아름다운 형산강을 가로지르는 포스코대교							
none	남파랑길 17코스	거제 석름봉 둘레길							
none	남파랑길 17코스	대나무 구간이 일부 포함되어 있어 이색적인 체험이 가능							
none	해파랑길 17코스	여상과 포토존							
none	해파랑길 17코스	송도해변을 지나 북부해변							
none	해파랑길 17코스	누에고추 모양을 한 포항시의 대표 공원 중 하나 환호공원							
none	남파랑길 18코스	김영삼대통령생가 기록전시관 관람							
none	서해랑길 18코스	목포요트마리나							
none	해파랑길 18코스	종착지 화진해변 가는길							
none	남파랑길 19코스	대계마을의 김영삼대통령생가 기록전시관 관람 가능							
none	남파랑길 19코스	아담하고 한적한 덕포해수욕장							
none	남파랑길 19코스	임진왜란 중 해전							
none	남파랑길 19코스	조선소인 대우조선소							
none	서해랑길 19코스	초의선사 유적지							
none	해파랑길 19코스(영덕 블루로드 1, 2코스)	모래알이 굵고 일출이 장관인 장사해변							
none	해파랑길 19코스(영덕 블루로드 1, 2코스)	경보화석박물관							
none	서해랑길 2코스	해남안호리고분군							
none	서해랑길 2코스	두모 선착장							
none	해파랑길 2코스	죽림이 우거져 옛부터 이곳의 대나무로 화살을 만들었다 전해지는 죽도							
none	해파랑길 2코스	동해바다를 향해 위치한 관음도랑으로 새해소망을 기원하며 방문하는 참배객들이 많음							
none	해파랑길 2코스	侍郞臺							
none	남파랑길 20코스	경관이 아름다운 능포수변공원							
none	남파랑길 20코스	남해의 어촌 생활사를 다룬 거제어촌민속전시관							
none	서해랑길 20코스	톱머리해변							
none	남파랑길 21코스	남해의 어촌 생활사를 다룬 거제어촌민속전시관							
none	남파랑길 21코스	추천명소 8경							
none	남파랑길 21코스	송림이 우거진 와현해수욕장							
none	해파랑길 21코스(영덕 블루로드 4코스)	영덕의 대표적인 어항이자 대게 위판장으로 유명한 축산항							
none	남파랑길 22코스	모래가 곱고 수심이 완만한 구조라해수욕장 이용 가능							
none	해파랑길 22코스(영덕 블루로드 5, 6, 7코스)	해발 282m 대소산 정상							
none	해파랑길 22코스(영덕 블루로드 5, 6, 7코스)	400년 전통의 영양 남씨 집성촌 괴시리전통마을							
none	해파랑길 22코스(영덕 블루로드 5, 6, 7코스)	울창한 송립과 8km							
none	남파랑길 23코스	가라산 정상							
none	서해랑길 23코스	조금나루해변							
none	해파랑길 23코스(영덕 블루로드 8코스)	바다와 함께 즐기는 울진여행의 대표적인 코스 칠보산 자연휴양림							
none	남파랑길 24코스	쌍근항 캠핑장							
none	해파랑길 24코스	넓고 울창한 송림과 갯벌과 고운 모래가 일품인 얕고 완만한 구산 해변							
none	해파랑길 24코스	향곡마을							
none	서해랑길 25코스	태천염전							
none	해파랑길 25코스	대표적인 해수욕장 기성망양해변							
none	해파랑길 25코스	망양정 옛터와 현재의 근남면 망양정을 차례로 지남							
none	해파랑길 25코스	덕신해변							
none	해파랑길 26코스	보고 울진엑스포공원							
none	해파랑길 26코스	폭풍 속으로 드라마 촬영지이자 1박2일 촬영지였던 죽변등대							
