courseName	sourceName
해파랑길 48코스	해마다 어린 연어가 집중 방류되는 곳으로 연어 조형물이 전시된 연어맞이 광장
해파랑길 48코스	시내와 인접해 편의 시설이 많고 지역민과 관광객들에게 잘 알려진 거진리 해변
남파랑길 49코스	전어축제로 유명한 망덕포구 일원은 바다와 섬진강이 만나는 독특한 경관을 볼 수 있으며 전망데크와 쉼터가 잘 구성되어 있음
남파랑길 49코스	경관
해파랑길 49코스	통일과 평화, 가족의 소중함을 담은 거진등대 해맞이공원
해파랑길 5코스	수심이 얕으며 백사장이 넓고 바닷물이 맑은 진하해변
해파랑길 5코스	옹기회관, 옹기전시관, 상설판매장 등이 위치한 외고산 옹기마을
해파랑길 5코스	동해남부선
서해랑길 50코스	고마저수지
해파랑길 50코스	군사지역으로 한시적으로만 개장되는 동해안 최북단 명파해변
해파랑길 50코스	동해안 최북단 해발 70미터 고지
남파랑길 51코스	순청왜성
남파랑길 51코스	이순신장군이 27일간을 머물면서 전사 하루 전 소서행장을 노량 앞바다로 유인하여 대첩을 거둔 유서깊은 전적지
서해랑길 52코스	망해대
남파랑길 56코스	도심속
남파랑길 57코스	봉화산 봉화대와 고봉산전망대
서해랑길 58코스	선도리어촌체험마을
서해랑길 58코스	마랑포구
서해랑길 58코스	성경전래지기념관
서해랑길 58코스	마랑리동백나무숲
서해랑길 58코스	춘장대해변
남파랑길 59코스	가사리 생태체험장과 소라면 복산리~달천교까지 이어지는 자전거길
서해랑길 59코스	무창포신비의바닷길
서해랑길 59코스	죽도관광지
해파랑길 6코스	실내, 야외로 운영중인 수영장과 4가지 주제로 꾸며진 울산대공원
해파랑길 6코스	4개 코스를 가진 순환산책로 솔마루길
서해랑길 60코스	보령머드박물관
남파랑길 62코스	일출이 아름다운 화포해변
남파랑길 63코스	벌교갯벌습지와 여자만 풍광
남파랑길 64코스	소박한 마을들과 조용한 농로를 걸으며 여유로움을 느낄 수 있음
남파랑길 64코스	이색자원적인 체험이 가능
서해랑길 64-2코스(지선2코스)	해미순교성지
서해랑길 64-3(지선3코스)	마애삼존불상
